id,carpeta,referencia,nombre,categoria,subcategoria,imagen_principal,n_imagenes,vista360,enlace
1,"0001_VA-666__Chaqueta_Urban_Travel_Wear","VA-666","Chaqueta Urban Travel Wear","CONFECCIONES","Chaquetas (Nacional - Gildan)","principal.jpg",5,"https://catalogospromocionales.com/images/v360/VA-666/index.html?V=6","https://www.catalogospromocionales.com/p/Chaqueta-Urban-Travel-Wear/8155/273"
2,"0002_COMPRIMIDO__Comprimidos_Produccion_Naciona","COMPRIMIDO","Comprimidos - Produccion Nacional","CONFECCIONES","Comprimidos","principal.jpg",3,"https://catalogospromocionales.com/images/v360/COMPRIMIDO/index.html?V=6","https://www.catalogospromocionales.com/p/comprimidos-produccion-nacional/5605/274"
3,"0003_CAP-22__Gorra_Trucker","CAP-22","Gorra Trucker","CONFECCIONES","Gorras","principal.jpg",15,"https://catalogospromocionales.com/images/v360/CAP-22/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-trucker/3502/275"
4,"0004_CAP-13__Gorra_Golf","CAP-13","Gorra Golf","CONFECCIONES","Gorras","principal.jpg",8,"https://catalogospromocionales.com/images/v360/CAP-13/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-golf/471/275"
5,"0005_CAP-16__Gorra_Eco_6_cascos","CAP-16","Gorra Eco - 6 cascos","CONFECCIONES","Gorras","principal.jpg",8,"https://catalogospromocionales.com/images/v360/CAP-16/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-eco-6-cascos/1082/275"
6,"0006_CAP-20__Gorra_Emergency","CAP-20","Gorra Emergency","CONFECCIONES","Gorras","principal.jpg",4,"https://catalogospromocionales.com/images/v360/CAP-20/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-emergency/5887/275"
7,"0007_CAP-26__Gorra_Mesh","CAP-26","Gorra Mesh","CONFECCIONES","Gorras","principal.jpg",6,"https://catalogospromocionales.com/images/v360/CAP-26/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-mesh/7374/275"
8,"0008_CAP-27__Gorra_Modena","CAP-27","Gorra Modena","CONFECCIONES","Gorras","principal.jpg",12,"https://catalogospromocionales.com/images/v360/CAP-27/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-modena/7375/275"
9,"0009_COMPRIMIDO__Comprimidos_Produccion_Naciona","COMPRIMIDO","Comprimidos - Produccion Nacional","CONFECCIONES","Toallas","principal.jpg",3,"https://catalogospromocionales.com/images/v360/COMPRIMIDO/index.html?V=6","https://www.catalogospromocionales.com/p/comprimidos-produccion-nacional/5605/276"
10,"0010_HO-64__Pa_o_en_Microfibra","HO-64","Paño en Microfibra","CONFECCIONES","Toallas","principal.jpg",10,"https://catalogospromocionales.com/images/v360/HO-64/index.html?V=6","https://www.catalogospromocionales.com/p/pano-en-microfibra/3192/276"
11,"0011_CP-202__Toalla_Cool_Sport","CP-202","Toalla Cool Sport","CONFECCIONES","Toallas","principal.jpg",7,"https://catalogospromocionales.com/images/v360/CP-202/index.html?V=6","https://www.catalogospromocionales.com/p/Toalla-Cool-Sport/7968/276"
12,"0012_CP-203__Toalla_en_Microfibra_Multiusos","CP-203","Toalla en Microfibra Multiusos","CONFECCIONES","Toallas","principal.jpg",9,"https://catalogospromocionales.com/images/v360/CP-203/index.html?V=6","https://www.catalogospromocionales.com/p/Toalla-en-Microfibra-Multiusos/8688/276"
13,"0013_CP-168__Toalla_Golf_Toalla_de_mano_Tun","CP-168","Toalla Golf /Toalla de mano Tundida (acabado fino)","CONFECCIONES","Toallas","principal.jpg",4,"https://catalogospromocionales.com/images/v360/CP-168/index.html?V=6","https://www.catalogospromocionales.com/p/toalla-golf-toalla-de-mano-tundida-acabado-fino/7379/276"
14,"0014_CP-189__Toalla_Cool_Sport_Con_Estuche","CP-189","Toalla Cool Sport Con Estuche","CONFECCIONES","Toallas","principal.jpg",7,"https://catalogospromocionales.com/images/v360/CP-189/index.html?V=6","https://www.catalogospromocionales.com/p/toalla-cool-sport-con-estuche/7956/276"
15,"0015_CP-59__Set_de_Toallitas_Multiusos","CP-59","Set de Toallitas Multiusos","CONFECCIONES","Toallas","principal.jpg",2,"https://catalogospromocionales.com/images/v360/CP-59/index.html?V=6","https://www.catalogospromocionales.com/p/set-de-toallitas-multiusos/3641/276"
16,"0016_TOALLAS__Toallas_100_algod_n_Producci_n","TOALLAS","Toallas 100% algodón - Producción Nacional","CONFECCIONES","Toallas","principal.jpg",2,"https://catalogospromocionales.com/images/v360/TOALLAS/index.html?V=6","https://www.catalogospromocionales.com/p/toallas-100-algodon-produccion-nacional/7689/276"
17,"0017_CP-263__Toalla_Cool_Sport_Box","CP-263","Toalla Cool Sport Box","CONFECCIONES","Toallas","principal.jpg",3,"https://catalogospromocionales.com/images/v360/CP-263/index.html?V=6","https://www.catalogospromocionales.com/p/toalla-cool-sport-box/9524/276"
18,"0018_CAP-22__Gorra_Trucker","CAP-22","Gorra Trucker","CONFECCIONES","Todos","principal.jpg",15,"https://catalogospromocionales.com/images/v360/CAP-22/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-trucker/3502/12"
19,"0019_CAP-13__Gorra_Golf","CAP-13","Gorra Golf","CONFECCIONES","Todos","principal.jpg",8,"https://catalogospromocionales.com/images/v360/CAP-13/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-golf/471/12"
20,"0020_CAP-16__Gorra_Eco_6_cascos","CAP-16","Gorra Eco - 6 cascos","CONFECCIONES","Todos","principal.jpg",8,"https://catalogospromocionales.com/images/v360/CAP-16/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-eco-6-cascos/1082/12"
21,"0021_CAP-20__Gorra_Emergency","CAP-20","Gorra Emergency","CONFECCIONES","Todos","principal.jpg",4,"https://catalogospromocionales.com/images/v360/CAP-20/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-emergency/5887/12"
22,"0022_COMPRIMIDO__Comprimidos_Produccion_Naciona","COMPRIMIDO","Comprimidos - Produccion Nacional","CONFECCIONES","Todos","principal.jpg",3,"https://catalogospromocionales.com/images/v360/COMPRIMIDO/index.html?V=6","https://www.catalogospromocionales.com/p/comprimidos-produccion-nacional/5605/12"
23,"0023_CAP-26__Gorra_Mesh","CAP-26","Gorra Mesh","CONFECCIONES","Todos","principal.jpg",6,"https://catalogospromocionales.com/images/v360/CAP-26/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-mesh/7374/12"
24,"0024_CAP-27__Gorra_Modena","CAP-27","Gorra Modena","CONFECCIONES","Todos","principal.jpg",12,"https://catalogospromocionales.com/images/v360/CAP-27/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-modena/7375/12"
25,"0025_VA-666__Chaqueta_Urban_Travel_Wear","VA-666","Chaqueta Urban Travel Wear","CONFECCIONES","Todos","principal.jpg",5,"https://catalogospromocionales.com/images/v360/VA-666/index.html?V=6","https://www.catalogospromocionales.com/p/Chaqueta-Urban-Travel-Wear/8155/12"
26,"0026_CP-189__Toalla_Cool_Sport_Con_Estuche","CP-189","Toalla Cool Sport Con Estuche","CONFECCIONES","Todos","principal.jpg",7,"https://catalogospromocionales.com/images/v360/CP-189/index.html?V=6","https://www.catalogospromocionales.com/p/toalla-cool-sport-con-estuche/7956/12"
27,"0027_CP-202__Toalla_Cool_Sport","CP-202","Toalla Cool Sport","CONFECCIONES","Todos","principal.jpg",7,"https://catalogospromocionales.com/images/v360/CP-202/index.html?V=6","https://www.catalogospromocionales.com/p/Toalla-Cool-Sport/7968/12"
28,"0028_HO-64__Pa_o_en_Microfibra","HO-64","Paño en Microfibra","CONFECCIONES","Todos","principal.jpg",10,"https://catalogospromocionales.com/images/v360/HO-64/index.html?V=6","https://www.catalogospromocionales.com/p/pano-en-microfibra/3192/12"
29,"0029_CP-203__Toalla_en_Microfibra_Multiusos","CP-203","Toalla en Microfibra Multiusos","CONFECCIONES","Todos","principal.jpg",9,"https://catalogospromocionales.com/images/v360/CP-203/index.html?V=6","https://www.catalogospromocionales.com/p/Toalla-en-Microfibra-Multiusos/8688/12"
30,"0030_CP-204__Cuello_Multifuncional_para_Sub","CP-204","Cuello Multifuncional para Sublimación","CONFECCIONES","Todos","principal.jpg",16,"https://catalogospromocionales.com/images/v360/CP-204/index.html?V=6","https://www.catalogospromocionales.com/p/Cuello-Multifuncional-para-Sublimacion/8689/12"
31,"0031_CP-168__Toalla_Golf_Toalla_de_mano_Tun","CP-168","Toalla Golf /Toalla de mano Tundida (acabado fino)","CONFECCIONES","Todos","principal.jpg",4,"https://catalogospromocionales.com/images/v360/CP-168/index.html?V=6","https://www.catalogospromocionales.com/p/toalla-golf-toalla-de-mano-tundida-acabado-fino/7379/12"
32,"0032_TOALLAS__Toallas_100_algod_n_Producci_n","TOALLAS","Toallas 100% algodón - Producción Nacional","CONFECCIONES","Todos","principal.jpg",2,"https://catalogospromocionales.com/images/v360/TOALLAS/index.html?V=6","https://www.catalogospromocionales.com/p/toallas-100-algodon-produccion-nacional/7689/12"
33,"0033_CP-263__Toalla_Cool_Sport_Box","CP-263","Toalla Cool Sport Box","CONFECCIONES","Todos","principal.jpg",3,"https://catalogospromocionales.com/images/v360/CP-263/index.html?V=6","https://www.catalogospromocionales.com/p/toalla-cool-sport-box/9524/12"
34,"0034_CP-59__Set_de_Toallitas_Multiusos","CP-59","Set de Toallitas Multiusos","CONFECCIONES","Todos","principal.jpg",2,"https://catalogospromocionales.com/images/v360/CP-59/index.html?V=6","https://www.catalogospromocionales.com/p/set-de-toallitas-multiusos/3641/12"
35,"0035_VA-1237__Bolsa_En_Algod_n_Ecopack","VA-1237","Bolsa En Algodón Ecopack","CONFECCIONES","Todos","principal.jpg",4,"https://catalogospromocionales.com/images/v360/VA-1237/index.html?V=6","https://www.catalogospromocionales.com/p/bolsa-en-algodon-ecopack/13597/12"
36,"0036_VA-1236__Bolsa_En_Algod_n_y_Yute_Ecotot","VA-1236","Bolsa En Algodón y Yute Ecotote","CONFECCIONES","Todos","principal.jpg",2,"https://catalogospromocionales.com/images/v360/VA-1236/index.html?V=6","https://www.catalogospromocionales.com/p/bolsa-en-algodon-ecotote/13596/12"
37,"0037_CAP-13__Gorra_Golf","CAP-13","Gorra Golf","DEPORTES","Todos","principal.jpg",8,"https://catalogospromocionales.com/images/v360/CAP-13/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-golf/471/410"
38,"0038_CAP-16__Gorra_Eco_6_cascos","CAP-16","Gorra Eco - 6 cascos","DEPORTES","Todos","principal.jpg",8,"https://catalogospromocionales.com/images/v360/CAP-16/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-eco-6-cascos/1082/410"
39,"0039_CAP-22__Gorra_Trucker","CAP-22","Gorra Trucker","DEPORTES","Todos","principal.jpg",15,"https://catalogospromocionales.com/images/v360/CAP-22/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-trucker/3502/410"
40,"0040_COMPRIMIDO__Comprimidos_Produccion_Naciona","COMPRIMIDO","Comprimidos - Produccion Nacional","DEPORTES","Todos","principal.jpg",3,"https://catalogospromocionales.com/images/v360/COMPRIMIDO/index.html?V=6","https://www.catalogospromocionales.com/p/comprimidos-produccion-nacional/5605/410"
41,"0041_CP-104__Medidor_de_Masa_Muscular","CP-104","Medidor de Masa Muscular","DEPORTES","Todos","principal.jpg",3,"https://catalogospromocionales.com/images/v360/CP-104/index.html?V=6","https://www.catalogospromocionales.com/p/medidor-de-masa-muscular/5255/410"
42,"0042_CP-168__Toalla_Golf_Toalla_de_mano_Tun","CP-168","Toalla Golf /Toalla de mano Tundida (acabado fino)","DEPORTES","Todos","principal.jpg",4,"https://catalogospromocionales.com/images/v360/CP-168/index.html?V=6","https://www.catalogospromocionales.com/p/toalla-golf-toalla-de-mano-tundida-acabado-fino/7379/410"
43,"0043_CP-189__Toalla_Cool_Sport_Con_Estuche","CP-189","Toalla Cool Sport Con Estuche","DEPORTES","Todos","principal.jpg",7,"https://catalogospromocionales.com/images/v360/CP-189/index.html?V=6","https://www.catalogospromocionales.com/p/toalla-cool-sport-con-estuche/7956/410"
44,"0044_CP-192__Banda_El_stica_Doble","CP-192","Banda Elástica Doble","DEPORTES","Todos","principal.jpg",5,"https://catalogospromocionales.com/images/v360/CP-192/index.html?V=6","https://www.catalogospromocionales.com/p/Banda-Elastica-Doble/7959/410"
45,"0045_CP-202__Toalla_Cool_Sport","CP-202","Toalla Cool Sport","DEPORTES","Todos","principal.jpg",7,"https://catalogospromocionales.com/images/v360/CP-202/index.html?V=6","https://www.catalogospromocionales.com/p/Toalla-Cool-Sport/7968/410"
46,"0046_CP-204__Cuello_Multifuncional_para_Sub","CP-204","Cuello Multifuncional para Sublimación","DEPORTES","Todos","principal.jpg",16,"https://catalogospromocionales.com/images/v360/CP-204/index.html?V=6","https://www.catalogospromocionales.com/p/Cuello-Multifuncional-para-Sublimacion/8689/410"
47,"0047_CP-217__Pulsera_Inteligente_Gym","CP-217","Pulsera Inteligente Gym","DEPORTES","Todos","principal.jpg",5,"https://catalogospromocionales.com/images/v360/CP-217/index.html?V=6","https://www.catalogospromocionales.com/p/pulsera-inteligente-gym/9312/410"
48,"0048_CP-280__Banda_Finger","CP-280","Banda Finger","DEPORTES","Todos","principal.jpg",5,"https://catalogospromocionales.com/images/v360/CP-280/index.html?V=6","https://www.catalogospromocionales.com/p/Banda-Finger/9733/410"
49,"0049_CP-283__Aro_de_Pilates_Ring","CP-283","Aro de Pilates Ring","DEPORTES","Todos","principal.jpg",4,"https://catalogospromocionales.com/images/v360/CP-283/index.html?V=6","https://www.catalogospromocionales.com/p/Aro-de-Pilates-Ring/9736/410"
50,"0050_CP-286__Bola_Antiestr_s_Rubber","CP-286","Bola Antiestrés Rubber","DEPORTES","Todos","principal.jpg",5,"https://catalogospromocionales.com/images/v360/CP-286/index.html?V=6","https://www.catalogospromocionales.com/p/Bola-Antiestres-Rubber/9738/410"
51,"0051_JU-35__Frisbee_D_namo_stock_telef_nic","JU-35","Frisbee Dínamo (stock telefònicamente)","DEPORTES","Todos","principal.jpg",5,"https://catalogospromocionales.com/images/v360/JU-35/index.html?V=6","https://www.catalogospromocionales.com/p/frisbee-dinamo-produccion-nacional/2864/410"
52,"0052_JU-36__Frisbee_Flexible_stock_telef_n","JU-36","Frisbee Flexible (stock telefònicamente)","DEPORTES","Todos","principal.jpg",6,"https://catalogospromocionales.com/images/v360/JU-36/index.html?V=6","https://www.catalogospromocionales.com/p/frisbee-flexible-produccion-nacional/2865/410"
53,"0053_JU-72__Frisbee_Aero_Producci_n_Nacion","JU-72","Frisbee Aero - Producción Nacional","DEPORTES","Todos","principal.jpg",6,"https://catalogospromocionales.com/images/v360/JU-72/index.html?V=6","https://www.catalogospromocionales.com/p/Frisbee-Aero-Produccion-Nacional/8028/410"
54,"0054_MU-10__Botilito_Sport_Tit_n_750_ml","MU-10","Botilito Sport Titán - 750 ml.","DEPORTES","Todos","principal.jpg",6,"https://catalogospromocionales.com/images/v360/MU-10/index.html?V=6","https://www.catalogospromocionales.com/p/botilito-sport-titan-750-ml-produccion-nacional/4439/410"
55,"0055_MU-11__Botilito_Sport_Laguna_800_ml","MU-11","Botilito Sport Laguna - 800 ml.","DEPORTES","Todos","principal.jpg",6,"https://catalogospromocionales.com/images/v360/MU-11/index.html?V=6","https://www.catalogospromocionales.com/p/botilito-sport-laguna-800ml/4440/410"
56,"0056_MU-144__Botilito_Plastico_Galaxy_900ml","MU-144","Botilito Plastico Galaxy 900ml-Produccion Nacional","DEPORTES","Todos","principal.jpg",8,"https://catalogospromocionales.com/images/v360/MU-144/index.html?V=6","https://www.catalogospromocionales.com/p/Botilito-Plastico-Galaxy-900ml-Produccion-Nacional/7890/410"
57,"0057_MU-197__Botilito_Met_lico_Otto_600_ml","MU-197","Botilito Metálico Otto 600 ml","DEPORTES","Todos","principal.jpg",15,"https://catalogospromocionales.com/images/v360/MU-197/index.html?V=6","https://www.catalogospromocionales.com/p/Botilito-Metalico-Otto-600-ml/8530/410"
58,"0058_MU-293__Botilito_Pl_stico_Counter_650m","MU-293","Botilito Plástico Counter 650ml","DEPORTES","Todos","principal.jpg",6,"https://catalogospromocionales.com/images/v360/MU-293/index.html?V=6","https://www.catalogospromocionales.com/p/Botilito-Plastico-Counter-650ml/9775/410"
59,"0059_MU-35__Botilito_mini_Spring_590ml_Tap","MU-35","Botilito mini Spring 590ml (Tapa Importada o Nal)","DEPORTES","Todos","principal.jpg",9,"https://catalogospromocionales.com/images/v360/MU-35/index.html?V=6","https://www.catalogospromocionales.com/p/botilito-mini-spring-550ml-tapa-importada-o-nacional/5159/410"
60,"0060_MU-60__Botilito_Infussion_800ML","MU-60","Botilito Infussion 800ML","DEPORTES","Todos","principal.jpg",7,"https://catalogospromocionales.com/images/v360/MU-60/index.html?V=6","https://www.catalogospromocionales.com/p/botilito-infussion-800ml/5762/410"
61,"0061_MU-89__Botilito_Saturno_PVC_900ML_Tap","MU-89","Botilito Saturno PVC 900ML (Tapa MU-35-Tapa-MU-89)","DEPORTES","Todos","principal.jpg",7,"https://catalogospromocionales.com/images/v360/MU-89/index.html?V=6","https://www.catalogospromocionales.com/p/Botilito-Saturno-pvc-850ml-produccion-nacional/6705/410"
62,"0062_MU-99__Botilito_en_Tritan_Bugsy_630ml","MU-99","Botilito en Tritan Bugsy 630ml","DEPORTES","Todos","principal.jpg",8,"https://catalogospromocionales.com/images/v360/MU-99/index.html?V=6","https://www.catalogospromocionales.com/p/botilito-en-tritan-bugsy-630ml/6815/410"
63,"0063_TE-436__Audifonos_Bluetooth_Airbone","TE-436","Audifonos Bluetooth Airbone","DEPORTES","Todos","principal.jpg",4,"https://catalogospromocionales.com/images/v360/TE-436/index.html?V=6","https://www.catalogospromocionales.com/p/Audifonos-Bluetooth-Airbone/9808/410"
64,"0064_TOALLAS__Toallas_100_algod_n_Producci_n","TOALLAS","Toallas 100% algodón - Producción Nacional","DEPORTES","Todos","principal.jpg",2,"https://catalogospromocionales.com/images/v360/TOALLAS/index.html?V=6","https://www.catalogospromocionales.com/p/toallas-100-algodon-produccion-nacional/7689/410"
65,"0065_VA-114__Sporty_Bag_Sencilla","VA-114","Sporty Bag Sencilla","DEPORTES","Todos","principal.jpg",8,"https://catalogospromocionales.com/images/v360/VA-114/index.html?V=6","https://www.catalogospromocionales.com/p/sporty-bag-sencilla/1552/410"
66,"0066_VA-169__Sporty_Bag_con_Malla","VA-169","Sporty Bag con Malla","DEPORTES","Todos","principal.jpg",8,"https://catalogospromocionales.com/images/v360/VA-169/index.html?V=6","https://www.catalogospromocionales.com/p/sporty-bag-con-malla/2129/410"
67,"0067_VA-244__Llavero_con_Capa","VA-244","Llavero con Capa","DEPORTES","Todos","principal.jpg",6,"https://catalogospromocionales.com/images/v360/VA-244/index.html?V=6","https://www.catalogospromocionales.com/p/llavero-con-capa/3336/410"
68,"0068_VA-282__Canguro_en_Poli_ster","VA-282","Canguro en Poliéster","DEPORTES","Todos","principal.jpg",6,"https://catalogospromocionales.com/images/v360/VA-282/index.html?V=6","https://www.catalogospromocionales.com/p/canguro-en-poliester/3615/410"
69,"0069_VA-292__Botilito_PVC_Mercury_850_ml","VA-292","Botilito PVC Mercury - 850 ml.","DEPORTES","Todos","principal.jpg",8,"https://catalogospromocionales.com/images/v360/VA-292/index.html?V=6","https://www.catalogospromocionales.com/p/botilito-pvc-mercury-850ml/3742/410"
70,"0070_VA-293__Abrigo_Impermeable","VA-293","Abrigo Impermeable","DEPORTES","Todos","principal.jpg",4,"https://catalogospromocionales.com/images/v360/VA-293/index.html?V=6","https://www.catalogospromocionales.com/p/abrigo-impermeable/3640/410"
71,"0071_VA-489__Sporty_bag_Molt","VA-489","Sporty bag Molt","DEPORTES","Todos","principal.jpg",9,"https://catalogospromocionales.com/images/v360/VA-489/index.html?V=6","https://www.catalogospromocionales.com/p/sporty-bag-molt/6246/410"
72,"0072_VA-522__Bolsa_Clear_Anny_Produccion_Na","VA-522","Bolsa Clear Anny ( Produccion Nacional)","DEPORTES","Todos","principal.jpg",4,"https://catalogospromocionales.com/images/v360/VA-522/index.html?V=6","https://www.catalogospromocionales.com/p/bolsa-clear-anny-produccion-nacional/6465/410"
73,"0073_VA-545__Morral_Backpack_Rush_Producci_","VA-545","Morral Backpack Rush - Producción Nacional","DEPORTES","Todos","principal.jpg",6,"https://catalogospromocionales.com/images/v360/VA-545/index.html?V=6","https://www.catalogospromocionales.com/p/morral-backpack-rush-produccion-nacional/6901/410"
74,"0074_VA-564__Protector_para_Morral_Backpack","VA-564","Protector para Morral Backpack Emergency","DEPORTES","Todos","principal.jpg",2,"https://catalogospromocionales.com/images/v360/VA-564/index.html?V=6","https://www.catalogospromocionales.com/p/protector-para-morral-backpack-emergency-produccion-nacional/6919/410"
75,"0075_VA-574__Sporty_Bag_en_Cambrel_Ewok","VA-574","Sporty Bag en Cambrel Ewok","DEPORTES","Todos","principal.jpg",8,"https://catalogospromocionales.com/images/v360/VA-574/index.html?V=6","https://www.catalogospromocionales.com/p/sporty-bag-en-cambrel-ewok/6928/410"
76,"0076_VA-575-1__Canguro_en_Poliester_Pocket","VA-575-1","Canguro en Poliester Pocket","DEPORTES","Todos","principal.jpg",5,"https://catalogospromocionales.com/images/v360/VA-575-1/index.html?V=6","https://www.catalogospromocionales.com/p/canguro-en-poliester-pocket/7766/410"
77,"0077_VA-583__Sporty_Bag_Crocket","VA-583","Sporty Bag Crocket","DEPORTES","Todos","principal.jpg",7,"https://catalogospromocionales.com/images/v360/VA-583/index.html?V=6","https://www.catalogospromocionales.com/p/sporty-bag-crocket/6938/410"
78,"0078_VA-604__Sporty_Bag_Whip","VA-604","Sporty Bag Whip","DEPORTES","Todos","principal.jpg",9,"https://catalogospromocionales.com/images/v360/VA-604/index.html?V=6","https://www.catalogospromocionales.com/p/sporty-bag-whip/7571/410"
79,"0079_VA-610__Abanico_Plegable_Frisbee_Flexi","VA-610","Abanico Plegable / Frisbee Flexible","DEPORTES","Todos","principal.jpg",12,"https://catalogospromocionales.com/images/v360/VA-610/index.html?V=6","https://www.catalogospromocionales.com/p/abanico-Plegable-frisbee-flexible/7577/410"
80,"0080_VA-616__Morral_Backpack_Stallone","VA-616","Morral Backpack Stallone","DEPORTES","Todos","principal.jpg",5,"https://catalogospromocionales.com/images/v360/VA-616/index.html?V=6","https://www.catalogospromocionales.com/p/morral-backpack-stallone/7582/410"
81,"0081_VA-617__Sporty_Bag_Aspen","VA-617","Sporty Bag Aspen","DEPORTES","Todos","principal.jpg",9,"https://catalogospromocionales.com/images/v360/VA-617/index.html?V=6","https://www.catalogospromocionales.com/p/sporty-bag-aspen/7583/410"
82,"0082_VA-621__Gafas_Gambler","VA-621","Gafas Gambler","DEPORTES","Todos","principal.jpg",4,"https://catalogospromocionales.com/images/v360/VA-621/index.html?V=6","https://www.catalogospromocionales.com/p/gafas-gambler/7587/410"
83,"0083_VA-636__Canguro_Ori_n","VA-636","Canguro Orión","DEPORTES","Todos","principal.jpg",4,"https://catalogospromocionales.com/images/v360/VA-636/index.html?V=6","https://www.catalogospromocionales.com/p/canguro-orion/7602/410"
84,"0084_VA-688__Sporty_Bag_Reflective","VA-688","Sporty Bag Reflective","DEPORTES","Todos","principal.jpg",7,"https://catalogospromocionales.com/images/v360/VA-688/index.html?V=6","https://www.catalogospromocionales.com/p/Sporty-Bag-Reflective/8182/410"
85,"0085_VA-699__Morral_Backpack_Plegable_Molly","VA-699","Morral Backpack Plegable Molly","DEPORTES","Todos","principal.jpg",9,"https://catalogospromocionales.com/images/v360/VA-699/index.html?V=6","https://www.catalogospromocionales.com/p/Morral-Backpack-Plegable-Molly/8193/410"
86,"0086_VA-749__Sporty_Bag_Spock","VA-749","Sporty Bag Spock","DEPORTES","Todos","principal.jpg",6,"https://catalogospromocionales.com/images/v360/VA-749/index.html?V=6","https://www.catalogospromocionales.com/p/Sporty-Bag-Spock/8404/410"
87,"0087_VA-804__Canguro_Gemini","VA-804","Canguro Gemini","DEPORTES","Todos","principal.jpg",6,"https://catalogospromocionales.com/images/v360/VA-804/index.html?V=6","https://www.catalogospromocionales.com/p/Canguro-Gemini-producccion-nacional/8721/410"
88,"0088_VA-915__Bal_n_de_F_tbol_No_5_Delko","VA-915","Balón de Fútbol No.5 Delko","DEPORTES","Todos","principal.jpg",2,"https://catalogospromocionales.com/images/v360/VA-915/index.html?V=6","https://www.catalogospromocionales.com/p/balon-de-futbol-no-5-delko/9427/410"
89,"0089_VA-941__Sporty_Bag_Eco_Yute_280gr","VA-941","Sporty Bag Eco Yute (280gr)","DEPORTES","Todos","principal.jpg",1,"https://catalogospromocionales.com/images/v360/VA-941/index.html?V=6","https://www.catalogospromocionales.com/p/Sporty-Bag-Eco-Yute/9725/410"
90,"0090_VA-953__Canguro_Dior","VA-953","Canguro Dior","DEPORTES","Todos","principal.jpg",6,"https://catalogospromocionales.com/images/v360/VA-953/index.html?V=6","https://www.catalogospromocionales.com/p/Canguro-Dior/9823/410"
91,"0091_VA-954__Canguro_London_Produccion_Naci","VA-954","Canguro London - Produccion Nacional","DEPORTES","Todos","principal.jpg",5,"https://catalogospromocionales.com/images/v360/VA-954/index.html?V=6","https://www.catalogospromocionales.com/p/canguro-london-produccion-nacional/9824/410"
92,"0092_VA-962__Morral_Backpack_Grant","VA-962","Morral Backpack Grant","DEPORTES","Todos","principal.jpg",3,"https://catalogospromocionales.com/images/v360/VA-962/index.html?V=6","https://www.catalogospromocionales.com/p/Morral-Backpack-Grant/9832/410"
93,"0093_MU-12-2__Botilito_Met_lico_Sublimaci_n_","MU-12-2","Botilito Metálico Sublimación Sport Bottle 500ml","DEPORTES","Todos","principal.jpg",3,"https://catalogospromocionales.com/images/v360/MU-12-2/index.html?V=6","https://www.catalogospromocionales.com/p/Botilito-Metalico-Sublimacion-Sport-Bottle-500ml/10667/410"
94,"0094_MU-367__Botilito_Met_lico_para_Sublima","MU-367","Botilito Metálico para Sublimación Gipsy 700ml","DEPORTES","Todos","principal.jpg",4,"https://catalogospromocionales.com/images/v360/MU-367/index.html?V=6","https://www.catalogospromocionales.com/p/Botilito-Metalico-para-Sublimacion-Gipsy-700ml/10684/410"
95,"0095_VA-1077__Canguro_Master_Ocean","VA-1077","Canguro Master Ocean","DEPORTES","Todos","principal.jpg",5,"https://catalogospromocionales.com/images/v360/VA-1077/index.html?V=6","https://www.catalogospromocionales.com/p/Canguro-Master-Ocean/10670/410"
96,"0096_CAP-20__Gorra_Emergency","CAP-20","Gorra Emergency","DEPORTES","Todos","principal.jpg",4,"https://catalogospromocionales.com/images/v360/CAP-20/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-emergency/5887/410"
97,"0097_CAP-26__Gorra_Mesh","CAP-26","Gorra Mesh","DEPORTES","Todos","principal.jpg",6,"https://catalogospromocionales.com/images/v360/CAP-26/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-mesh/7374/410"
98,"0098_CAP-27__Gorra_Modena","CAP-27","Gorra Modena","DEPORTES","Todos","principal.jpg",12,"https://catalogospromocionales.com/images/v360/CAP-27/index.html?V=6","https://www.catalogospromocionales.com/p/gorra-modena/7375/410"
99,"0099_CP-203__Toalla_en_Microfibra_Multiusos","CP-203","Toalla en Microfibra Multiusos","DEPORTES","Todos","principal.jpg",9,"https://catalogospromocionales.com/images/v360/CP-203/index.html?V=6","https://www.catalogospromocionales.com/p/Toalla-en-Microfibra-Multiusos/8688/410"
100,"0100_CP-263__Toalla_Cool_Sport_Box","CP-263","Toalla Cool Sport Box","DEPORTES","Todos","principal.jpg",3,"https://catalogospromocionales.com/images/v360/CP-263/index.html?V=6","https://www.catalogospromocionales.com/p/toalla-cool-sport-box/9524/410"
