id,carpeta,referencia,nombre,categoria,subcategoria,imagen_principal,n_imagenes,vista360,enlace
3345,"3345_MU-132-1__Botilito_Plastico_Langdon_PETG","MU-132-1","Botilito Plastico Langdon PETG 850ml","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Plásticos","principal.jpg",4,"https://catalogospromocionales.com/images/v360/MU-132-1/index.html?V=6","https://www.catalogospromocionales.com/p/botilito-plastico-langdon-petg-850ml/9873/346"
3346,"3346_MU-131-1__Botilito_Plastico_Lambert_PETG","MU-131-1","Botilito Plastico Lambert PETG 710ml","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Plásticos","principal.jpg",4,"https://catalogospromocionales.com/images/v360/MU-131-1/index.html?V=6","https://www.catalogospromocionales.com/p/Botilito-plastico-Lambert-PETG-710ml/9872/346"
3347,"3347_MU-317__Botilito_Pl_stico_Sterling_700","MU-317","Botilito Plástico Sterling 700ml","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Plásticos","principal.jpg",4,"https://catalogospromocionales.com/images/v360/MU-317/index.html?V=6","https://www.catalogospromocionales.com/p/Botilito-Plastico-Sterling-700ml/10084/346"
3348,"3348_MU-304__Botilito_Logomax_750ml_Producc","MU-304","Botilito Logomax 750ml -Produccion Nal(tapa MU-90)","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Plásticos","principal.jpg",7,"https://catalogospromocionales.com/images/v360/MU-304/index.html?V=6","https://www.catalogospromocionales.com/p/Botilito-Logomax-800ml-Producci%C3%B3n-Nal/9889/346"
3349,"3349_MU-321__Botilito_Pl_stico_Biggy_1500ml","MU-321","Botilito Plástico Biggy 1500ml","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Plásticos","principal.jpg",3,"https://catalogospromocionales.com/images/v360/MU-321/index.html?V=6","https://www.catalogospromocionales.com/p/Botilito-Plastico-Biggy-1500ml/10088/346"
3350,"3350_Tapa-MU-89__Tapa_Pesta_a_para_Botilito_Sat","Tapa-MU-89","Tapa Pestaña para Botilito Saturno","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Plásticos","principal.jpg",1,"https://catalogospromocionales.com/images/v360/Tapa-MU-89/index.html?V=6","https://www.catalogospromocionales.com/p/Tapa-Pestana-para-Botilito-Saturno/7686/346"
3351,"3351_MU-337__Botilitro_Pl_stico_1000ml_1_Li","MU-337","Botilitro Plástico 1000ml - 1 Litro","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Plásticos","principal.jpg",9,"https://catalogospromocionales.com/images/v360/MU-337/index.html?V=6","https://www.catalogospromocionales.com/p/Botilitro-Plastico-1000ml-1Litro-produccion-nacional/10300/346"
3352,"3352_MU-322__Botilito_Pl_stico_Pillbox_750m","MU-322","Botilito Plástico Pillbox 750ml","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Plásticos","principal.jpg",3,"https://catalogospromocionales.com/images/v360/MU-322/index.html?V=6","https://www.catalogospromocionales.com/p/Botilito-Plastico-Pillbox-750ml/10089/346"
3353,"3353_MU-324__Botilito_Pl_stico_Mack_PETG_70","MU-324","Botilito Plástico Mack PETG 700ml - Oferta","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Plásticos","principal.jpg",5,"https://catalogospromocionales.com/images/v360/MU-324/index.html?V=6","https://www.catalogospromocionales.com/p/Botilito-Plastico-Mack-PETG-700ml/10091/346"
3354,"3354_MU-323__Botilito_Pl_stico_Cory_PETG_90","MU-323","Botilito Plástico Cory PETG 900ml","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Plásticos","principal.jpg",5,"https://catalogospromocionales.com/images/v360/MU-323/index.html?V=6","https://www.catalogospromocionales.com/p/Botilito-Plastico-Cory-PETG-900ml/10090/346"
3355,"3355_VA-137V__Botilito_Astron_800ml_Vaso_Pro","VA-137V","Botilito Astron 800ml - Vaso - Producción Nacional","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Plásticos","principal.jpg",3,"https://catalogospromocionales.com/images/v360/VA-137V/index.html?V=6","https://www.catalogospromocionales.com/p/botilito-astron-800ml-vaso-produccion-nacional/2380/346"
3356,"3356_MU-267__Botilito_en_Tritan_Swat_600ml_","MU-267","Botilito en Tritan Swat 600ml - Oferta","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Plásticos","principal.jpg",5,"https://catalogospromocionales.com/images/v360/MU-267/index.html?V=6","https://www.catalogospromocionales.com/p/Botilito-en-Tritan-Swat-600ml/9559/346"
